email,password,name,usn,role,branch,section,semester,schema,collageId
2@2.com,123123,two,1SB22AI002,STUDENT,AIML,A,S1,Y_2022,
3@3.com,123123,three,1SB22AI003,STUDENT,AIML,A,S1,Y_2022,
4@4.com,123123,four,1SB22AI004,STUDENT,AIML,A,S1,Y_2022,
5@5.com,123123,five,1SB22AI005,STUDENT,AIML,A,S6,Y_2022,
6@6.com,123123,six,1SB22AI006,STUDENT,AIML,A,S6,Y_2022,
7@7.com,123123,seven,1SB22AI007,STUDENT,AIML,A,S6,Y_2022,
8@8.com,123123,eight,1SB22AI008,STUDENT,AIML,A,S6,Y_2022,
9@9.com,123123,nine,1SB22AI009,STUDENT,AIML,A,S6,Y_2022,
10@10.com,123123,ten,1SB22AI010,STUDENT,AIML,A,S6,Y_2022,
s1@s1.com,123123,s1,1SB22AI011,STAFF,AIML,A,S1,Y_2022,
